JobID,JobName,CPUTime,CPUTimeRAW,Elapsed,TotalCPU,MaxRSS,State,ExitCode
47403330,batch,00:52:49,3169,00:52:49,06:51.586,0.77G,COMPLETED,0:0
47403331,batch,00:52:48,3168,00:52:48,06:51.939,0.74G,COMPLETED,0:0
47403332,batch,00:48:17,2897,00:48:17,06:45.497,0.75G,COMPLETED,0:0
47403333,batch,00:50:27,3027,00:50:27,06:48.369,0.76G,COMPLETED,0:0
47403334,batch,00:51:28,3088,00:51:28,06:48.759,0.79G,COMPLETED,0:0
47403335,batch,00:51:38,3098,00:51:38,06:48.820,0.75G,COMPLETED,0:0
47403336,batch,00:50:26,3026,00:50:26,06:56.293,0.76G,COMPLETED,0:0
47403337,batch,00:55:06,3306,00:55:06,06:31.854,0.75G,COMPLETED,0:0
47403338,batch,00:53:12,3192,00:53:12,06:50.794,0.75G,COMPLETED,0:0
47403339,batch,00:22:24,1344,00:22:24,06:45.877,0.76G,COMPLETED,0:0
47403340,batch,00:24:15,1455,00:24:15,06:48.155,0.74G,COMPLETED,0:0
47403341,batch,00:24:57,1497,00:24:57,06:47.809,0.77G,COMPLETED,0:0
47403342,batch,00:25:20,1520,00:25:20,06:42.305,0.77G,COMPLETED,0:0
47403343,batch,00:26:25,1585,00:26:25,06:46.440,0.75G,COMPLETED,0:0
47403344,batch,00:25:29,1529,00:25:29,06:46.411,0.78G,COMPLETED,0:0
47403345,batch,00:26:02,1562,00:26:02,06:47.603,0.75G,COMPLETED,0:0
47403346,batch,00:25:04,1504,00:25:04,06:43.609,0.76G,COMPLETED,0:0
47403347,batch,00:26:12,1572,00:26:12,06:14.286,0.77G,COMPLETED,0:0
47403348,batch,00:26:35,1595,00:26:35,06:40.516,0.76G,COMPLETED,0:0
47403349,batch,00:26:54,1614,00:26:54,06:37.144,0.74G,COMPLETED,0:0
47403350,batch,00:27:14,1634,00:27:14,06:37.908,0.75G,COMPLETED,0:0
47403351,batch,00:27:08,1628,00:27:08,06:39.937,0.75G,COMPLETED,0:0
47403352,batch,00:27:18,1638,00:27:18,06:36.656,0.77G,COMPLETED,0:0
47403353,batch,00:26:48,1608,00:26:48,06:40.082,0.78G,COMPLETED,0:0
47403354,batch,00:27:15,1635,00:27:15,06:40.688,0.77G,COMPLETED,0:0
47403355,batch,00:31:20,1880,00:31:20,06:40.537,0.76G,COMPLETED,0:0
47403356,batch,00:32:30,1950,00:32:30,06:29.869,0.76G,COMPLETED,0:0
47403357,batch,00:31:27,1887,00:31:27,06:38.896,0.76G,COMPLETED,0:0
47403358,batch,00:22:19,1339,00:22:19,06:39.346,0.75G,COMPLETED,0:0
47403359,batch,00:29:22,1762,00:29:22,06:41.718,0.77G,COMPLETED,0:0
47403360,batch,00:29:21,1761,00:29:21,06:42.265,0.75G,COMPLETED,0:0
47403361,batch,00:29:37,1777,00:29:37,06:42.280,0.75G,COMPLETED,0:0
47403362,batch,00:29:36,1776,00:29:36,06:42.725,0.76G,COMPLETED,0:0
47403363,batch,00:29:57,1797,00:29:57,06:43.329,0.78G,COMPLETED,0:0
47403364,batch,00:23:18,1398,00:23:18,06:36.353,0.78G,COMPLETED,0:0
47403365,batch,00:25:09,1509,00:25:09,06:39.717,0.75G,COMPLETED,0:0
47403366,batch,00:27:39,1659,00:27:39,06:41.622,0.73G,COMPLETED,0:0
47403367,batch,00:27:50,1670,00:27:50,06:42.495,0.78G,COMPLETED,0:0
47403368,batch,00:24:44,1484,00:24:44,06:44.845,0.76G,COMPLETED,0:0
47403369,batch,00:29:56,1796,00:29:56,06:49.885,0.78G,COMPLETED,0:0
47403370,batch,00:29:29,1769,00:29:29,06:48.632,0.77G,COMPLETED,0:0
47403371,batch,00:20:52,1252,00:20:52,06:39.769,0.74G,COMPLETED,0:0
47403372,batch,00:22:38,1358,00:22:38,06:42.900,0.77G,COMPLETED,0:0
47403373,batch,00:24:01,1441,00:24:01,06:44.566,0.76G,COMPLETED,0:0
47403374,batch,00:25:09,1509,00:25:09,06:42.519,0.76G,COMPLETED,0:0
47403375,batch,00:24:29,1469,00:24:29,06:43.024,0.77G,COMPLETED,0:0
47403376,batch,00:24:39,1479,00:24:39,06:44.192,0.76G,COMPLETED,0:0
47403377,batch,00:24:21,1461,00:24:21,06:41.367,0.74G,COMPLETED,0:0
47403378,batch,00:24:31,1471,00:24:31,06:44.472,0.78G,COMPLETED,0:0
47403379,batch,00:26:29,1589,00:26:29,06:36.392,0.74G,COMPLETED,0:0
47403380,batch,00:25:40,1540,00:25:40,06:36.472,0.77G,COMPLETED,0:0
47403381,batch,00:26:50,1610,00:26:50,06:38.180,0.75G,COMPLETED,0:0
47403382,batch,00:27:45,1665,00:27:45,06:40.740,0.76G,COMPLETED,0:0
47403383,batch,00:27:23,1643,00:27:23,06:38.657,0.75G,COMPLETED,0:0
47403384,batch,00:26:54,1614,00:26:54,06:42.151,0.76G,COMPLETED,0:0
47403385,batch,00:26:50,1610,00:26:50,06:42.850,0.73G,COMPLETED,0:0
47403386,batch,00:26:23,1583,00:26:23,06:42.847,0.73G,COMPLETED,0:0
47403387,batch,00:30:15,1815,00:30:15,06:53.548,0.76G,COMPLETED,0:0
47403388,batch,00:30:26,1826,00:30:26,06:50.566,0.75G,COMPLETED,0:0
47403389,batch,00:30:30,1830,00:30:30,06:50.677,0.76G,COMPLETED,0:0
47403390,batch,00:22:34,1354,00:22:34,06:47.792,0.75G,COMPLETED,0:0
47403391,batch,00:29:48,1788,00:29:48,06:49.037,0.75G,COMPLETED,0:0
47403392,batch,00:30:02,1802,00:30:02,06:48.510,0.78G,COMPLETED,0:0
47403393,batch,00:29:47,1787,00:29:47,06:50.637,0.76G,COMPLETED,0:0
47403394,batch,00:30:06,1806,00:30:06,06:49.856,0.74G,COMPLETED,0:0
47403395,batch,00:29:51,1791,00:29:51,06:48.095,0.76G,COMPLETED,0:0
